,Unnamed: 0,Unnamed: 0.1,link,summary,purpose,lex_rank,edmunson,lead_cm,prsummarizer
329,329,136576764,https://api.github.com/repos/nnpcYvIVl/ContentSync,Directory copy/sync/mirror tool that uses file contents (not timestamps) to avoid touching identical files,avoid touching identical files,contentsync directory copysyncmirror tool that uses file contents not timestamps to avoid touching identical files.,contentsync directory copysyncmirror tool that uses file contents not timestamps to avoid touching identical files.,contentsync directory copysyncmirror tool that uses file contents not timestamps to avoid touching identical files. download httpsgithub.comkirillosenkovcontentsyncreleasesdownloadv1.5contentsync.exe also available on chocolatey httpschocolatey.orgpackagescontentsync cinst contentsync usage,directory tool that uses file contents not timestamps to avoid touching identical
330,330,136720114,https://api.github.com/repos/lee-zhg/deploy-ibm-cloud-private,Instructions and Code required to install IBM Cloud Private,install IBM Cloud Private,deploy ibm cloud private instructions deploy in local vms using vagrant deploy in softlayer vms using ansible deploy in softlayer vms using terraform deploy in openstack using terraform optional add nfs dynamic provsioner to your cluster accessing ibm cloud private access the url using the username password provided in last few lines of the icp deployment.,deploy ibm cloud private instructions deploy in local vms using vagrant deploy in softlayer vms using ansible deploy in softlayer vms using terraform deploy in openstack using terraform optional add nfs dynamic provsioner to your cluster accessing ibm cloud private access the url using the username password provided in last few lines of the icp deployment.,deploy ibm cloud private instructions deploy in local vms using vagrant deploy in softlayer vms using ansible deploy in softlayer vms using terraform deploy in,deploy cloud cloud to deploy cloud in softlayer in softlayer
331,331,137539101,https://api.github.com/repos/Glow-Inc/AndroidJSCore,AndroidJSCore allows Android developers to use JavaScript natively in their apps.,use JavaScript natively in their apps ,androidjscore androidjscore allows android developers to use javascript natively in their apps.,androidjscore androidjscore allows android developers to use javascript natively in their apps.,androidjscore androidjscore allows android developers to use javascript natively in their apps. androidjscore is an android java jni wrapper around webkits javascriptcore c library. it,android android developers to use javascript natively in their apps
332,332,137280186,https://api.github.com/repos/Khora/madebykhora,Website for fundraising for the community kitchen.,the community kitchen ,paypal email address to which the donations in euro shall go place a new empty file with the name emailforpaypal.php in that newly created config folder.,madebykhora website for fundraising for the khora community kitchen.,madebykhora website for fundraising for the khora community kitchen. setup setup place all the files and folders of this repo on a phpenabled webserver. do,website for fundraising for the khora community
333,333,137162103,https://api.github.com/repos/realize-qzq/nlp-data-loading-framework,We are trying to define a framework for NLP tasks that easily maps any kind of word embedding data set with any kind of text data set. The framework should decrease the amount of additional code needed to work on different NLP tasks.  We have found that f,work on different NLP tasks We have found that f,this class has outofthebox functionalities like loading and storing data but also a generator function is defined here which samples from bucketized sentences.,contributors aishwarya kamath ashkamath httpsgithub.comashkamath jonas pfeiffer jopfeiff httpsgithub.comjopfeiff framework for nlp text data we are trying to define a framework for nlp tasks that easily maps any kind of word embedding data set with any kind of text data set.,contributors aishwarya kamath ashkamath httpsgithub.comashkamath jonas pfeiffer jopfeiff httpsgithub.comjopfeiff framework for nlp text data we are trying to define a framework for nlp tasks that,framework for nlp text data
334,334,137513619,https://api.github.com/repos/qbss/GitFlowPractise,A text-file based thing for practising Git Flow workflow,practising Git Flow workflow,discussion topics why use develop as the main branch instead of master what state should master be in in terms of tests what happened when you pushed and pulled develop what branches are allowed to merge into and out of develop and master what does git tag do and why is it useful,gitflowpractise a textfile based thing for practising git flow workflow.,gitflowpractise a textfile based thing for practising git flow workflow. follow the git flow model and take one feature per person. dont worry about hotfix,textfile based thing for practising git flow workflow
335,335,136987383,https://api.github.com/repos/davericher/spotcast,Home assistant custom component to start Spotify playback on an idle chromecast device,start Spotify playback on an idle chromecast device,call the service start playback on a device with default account where is the friendly name of the chromecast is the spotify uri supports all uris including track limit to one track optionally you can specify the of an existing home assistant chromecast mediaplayer like transfer current playback for the account omitting will check if something is playing on any of the accounts devices and transfer the playback to the specified device.,spotcast home assistant custom component to start spotify playback on an idle chromecast device this component is not meant to be a full spotify chromecast mediaplayer but only serves to start the playback.,spotcast home assistant custom component to start spotify playback on an idle chromecast device this component is not meant to be a full spotify chromecast,assistant custom component to start spotify playback on an idle chromecast device
336,336,136594317,https://api.github.com/repos/synergy-au/salesforce-plantuml,Salesforce app to generate UML class & ER-diagrams from your org data. Leverages the PlantUML library.,generate UML class ERdiagrams from your org data Leverages the PlantUML library ,plantuml is a free and open source uml tool for drawing uml diagrams from a simple and human readable text description.,plantuml diagram generator for salesforce orgs salesforceplantuml is a native force.com application that renders uml class diagrams for a given set of apex classes or sobjects.,plantuml diagram generator for salesforce orgs salesforceplantuml is a native force.com application that renders uml class diagrams for a given set of apex classes or,native forcecom application for drawing uml class for a given set of apex classes or sobjects [UNK]
337,337,137019379,https://api.github.com/repos/NeoTim/Parallax-One,"???? [RETIRED] DEPLOYMENT is disabled, if you need to make a release, contact Marius.",make a release contact Marius ,scrollreveal.js copyright c 2014 httpstwitter.comjulianlloyd licensed under the mit license.,parallax one contributors codeinwp tags black blue gray white light responsivelayout onecolumn twocolumns rightsidebar custombackground customcolors custommenu featuredimages frontpagepostform fullwidthtemplate rtllanguagesupport threadedcomments translationready requires at least 3.3.0 tested up to 4.3 parallax one description parallax one is a free and elegant one page theme that can be used for web agency businesscorporate businesspersonal and parallax business portfolio photography sites and freelancer .,parallax one contributors codeinwp tags black blue gray white light responsivelayout onecolumn twocolumns rightsidebar custombackground customcolors custommenu featuredimages frontpagepostform fullwidthtemplate rtllanguagesupport threadedcomments translationready requires at,free and elegant one page theme that can be used for web agency businesscorporate
338,338,136843638,https://api.github.com/repos/gitmesam/dinputto8,A dll module that is designed to improve compatibility in games using DirectInput 1-7 (dinput.dll) by converting all API calls to their equivalent DirectInput 8 (dinput8.dll) ones. This allows older games to be able to use newer tools and wrappers written,use newer tools and wrappers written,uninstallation delete the files from the games directory.,dinputto8 dinputto8 is a dll module that is designed to improve compatibility in games using directinput 17 dinput.dll by converting all api calls to their equivalent directinput 8 dinput8.dll ones.,dinputto8 dinputto8 is a dll module that is designed to improve compatibility in games using directinput 17 dinput.dll by converting all api calls to their,dll module that is designed to improve compatibility in games using directinput 17
339,339,136945310,https://api.github.com/repos/tiravata/train-ocr,Input files and scripts necessary to train the license plate OCR,train the license plate OCR,sometimes even within a single region the license plate fonts will vary e.g. between old plates and new plates or digital vs stamped plates or vehicle plates vs bicycle plates.,trainocr this repository provides code and data that can be used to train custom license plate fonts in support of the openalpr library.,trainocr this repository provides code and data that can be used to train custom license plate fonts in support of the openalpr library. the ocr,code and data that can be used to train custom license plate fonts in support of the openalpr library
340,340,137476620,https://api.github.com/repos/doppelganger9/cooking-contest,A Svelte app for cooking contests.,cooking contests ,deploying to the web with firebase install if you havent already first time create a project in firebase and do copy into and change values inside with yours from firebase console.,cooking contest this is a svelte app.,cooking contest this is a svelte app. it lives at httpsgithub.comdoppelganger9cookingcontest. get started note that you will need to have node.js installed. install the dependencies...,svelte app to localhost5000 with the local cooking
341,341,136800230,https://api.github.com/repos/hitytqsz/Simulink-iiwa-interface,An interface for controlling KUKA iiwa manipulators from Simulink,controlling KUKA iiwa manipulators from Simulink,operation first run the server on iiwa side using the smart pad then you shall run the simulink project in matlab 2018a.,simulinkiiwa interface the simulinkiiwa is an interface that allows the user to control kuka iiwa manipulaotrs from simulink.,simulinkiiwa interface the simulinkiiwa is an interface that allows the user to control kuka iiwa manipulaotrs from simulink. unlike the the simulink interface is built,the simulinkiiwa is an simulinkiiwa interface that allows the user to control kuka iiwa manipulaotrs from simulink unlike
342,342,137210170,https://api.github.com/repos/gwenf/express-sequelize-tutorial,Express Sequelize App for Coding with Gwen tutorial,Coding with Gwen tutorial,npm run dbcreate creates the database.,expresssequelize tutorial please note i am still working on the code in this repo.,expresssequelize tutorial please note i am still working on the code in this repo. things might not all be working correctly yet. local setup database,tutorial to build the database for running and the code for the database
343,343,137103664,https://api.github.com/repos/nash403/graphicon,A Vue.js plugin/component to help you manage your icons seamlessly,help you manage your icons seamlessly,graphicon a vue.js plugincomponent to help you manage your icons seamlessly installation or usage install the plugin then use in your components if you didnt install the plugin with vue.use youll have to declare the gicon component first options the props of is an object containing attributes that will be merged to default attributes and passed to the root svg element of icons.,graphicon a vue.js plugincomponent to help you manage your icons seamlessly installation or usage install the plugin then use in your components if you didnt install the plugin with vue.use youll have to declare the gicon component first options the props of is an object containing attributes that will be merged to default attributes and passed to the root svg element of icons.,graphicon a vue.js plugincomponent to help you manage your icons seamlessly installation or usage install the plugin then use in your components if you didnt,vuejs plugincomponent to help you manage your icons seamlessly
344,344,137608753,https://api.github.com/repos/shozebhaider/AMBER-Maestro-lipid-tutorial,Tutorial to build AMBER compatable protein+lipid systems,build AMBER compatable proteinlipid systems,under ions select neutralize by adding and add salt to 0.15 m. next select the solvation tab to set your system dimensions and click run.,amber maestro proteinlipid tutorial this tutorial has been updated for amber 16 and maestro 2016.1 this tutorial provides a stepbystep protocol to build proteinlipid systems for amber using the free version of maestro bundled with desmond.,amber maestro proteinlipid tutorial this tutorial has been updated for amber 16 and maestro 2016.1 this tutorial provides a stepbystep protocol to build proteinlipid systems,stepbystep protocol to build proteinlipid systems for amber using the free version of maestro bundled with desmond
345,345,137517396,https://api.github.com/repos/rdotnet/dynamic-interop-dll,Facilities to load native DLLs from .NET. More flexible and hide platform specifics.,load native DLLs from NET More flexible and hide platform specifics ,installation you can install this library in your projects as a nuget package for some linux flavours you may need to also compile a workaround for a invalid caller error.,dynamicinteropdll facilities to load native dlls from .net on unix windows or macos.,dynamicinteropdll facilities to load native dlls from .net on unix windows or macos. purpose this library is designed to facilitate load dynamic link libraries called,facilities to load native dlls from net on unix or macos
346,346,136642861,https://api.github.com/repos/gerardborst/in-toto-plugin,A Jenkins plugin to track steps and create in-toto link metadata,track steps and create intoto link metadata,currently we have transport handlers for redis etcd and an unauthenticated post request with the link metadata.,intoto jenkins this repository contains the source code for the intoto provenance plugin for jenkins.,intoto jenkins this repository contains the source code for the intoto provenance plugin for jenkins. as of now this is still wip although the core,plugin to sign the task in the task
347,347,137466969,https://api.github.com/repos/asayah/free-trusted-ca-cert,How to generate a reusable trusted ca cert using certbot,generate a reusable trusted ca cert using certbot,introduction this page illustrate how to create a reusable trusted letsencrypt ca certificate for noip.com dns.,introduction this page illustrate how to create a reusable trusted letsencrypt ca certificate for noip.com dns.,introduction this page illustrate how to create a reusable trusted letsencrypt ca certificate for noip.com dns. prerequisites in this tutorial we will need a server,page how to create a reusable trusted letsencrypt ca certificate for noipcom dns
348,348,136638576,https://api.github.com/repos/223mali/angular-rave,???? An angular2+ module for integrating payments using the rave gateway,integrating payments using the rave gateway,customeremail string true if customer phone number is not passed email of the customer.,angularrave easily intergrate the rave payment gateway in your angular2 project how to use you can checkout the demo here 1. install the module run in the your angular project 2. import the module into your project like so 3. implementing angularrave either by using the component or the directive you can also pass in an object containing your rave options like so and then you can import the class for help in typing note when using the component the raves payment popup shows once the component is rendered while using the directive the popup shows on click always generate a unique reference for every transaction after successful payment always perform server verification options name type required default value description pbfpubkey string true your merchant public key provided when you create a button.,angularrave easily intergrate the rave payment gateway in your angular2 project how to use you can checkout the demo here 1. install the module run,payment gateway for the payment gateway in your angular2
349,349,137426671,https://api.github.com/repos/baondp/catwalk,UI to ease the data modelling experience using Qlik Associative Engine.,ease the data modelling experience using Qlik Associative Engine ,example app for convenience there is an example app and dockercompose.yml in the catwalk repository the dockercompose.yml in the repository will expose the qlik associative engine app at and is viewable in catwalk with e.g. qlik sense desktop for connecting to a qlik sense desktop the websocket url will be qlik sense enterprise the catwalk ui doesnt provide a login to the qlik sense app but as long as there has been a login to the app in another tabwindow the cookie is set and catwalk can reuse that session.,gain data model insights quickly during its development and validation phases.,gain data model insights quickly during its development and validation phases. this tool is useful when you want to explore your data model for whatever,load script to explore your data model
350,350,137057203,https://api.github.com/repos/siddhi-io/siddhi-execution-json,Extension that provides the capability to send a map object inside Siddhi stream definitions and use it within queries,send a map object inside Siddhi stream definitions and use it within queries,getobject function function retrieves the object specified in the given path of the json element.,siddhi execution json the siddhiexecutionjson extension is a siddhi extension that provides capability to retrieve insert and modify json elements.,siddhi execution json the siddhiexecutionjson extension is a siddhi extension that provides capability to retrieve insert and modify json elements. for information on siddhi and,siddhi extension to retrieve the siddhiexecutionjson to modify json elements
351,351,136861401,https://api.github.com/repos/murphywuwu/learn-elm,:rainbow: discover the beautiful programming language that makes front-end web apps a joy to build and maintain!,build and maintain ,note if you install elm globally you will be able to type elmreactor without the nodemodules.bin relative path if youre curious why youre running a server to view the output of your code its because is compiled to javascript and its fiddly to have to compile your code manually every time you want to see the output.,learn why its difficult to introduce elm to someone who has never heard of it before without sounding evangelical ... weve tried our best to be objective and factual the fact is that elm is awesome.,learn why its difficult to introduce elm to someone who has never heard of it before without sounding evangelical ... weve tried our best to,programming language for creating web browserbased graphical
352,352,136693222,https://api.github.com/repos/ak33xx/musicrecommed,"Here, you can find the codes for implementation of the experiments conducted on the dataset. We have used Factorization Machines[1] to perform the music recommendation experiments.",perform the music recommendation experiments ,usage 1. downloading the dataset.,nowplayingrs a benchmark dataset for context aware music recommendation here you can find the codes for implementation of the experiments conducted on the nowplayingrs dataset.,nowplayingrs a benchmark dataset for context aware music recommendation here you can find the codes for implementation of the experiments conducted on the nowplayingrs dataset.,benchmark dataset for context aware music recommendation
353,353,137334682,https://api.github.com/repos/hcarneiro/nuxt-basic-authentication,An example project on how to use HTTP authorization in Nuxt.js,use HTTP authorization in Nuxtjs,nuxt basic authentication an example project on how to use http authorization in nuxt.js files to look for configauthentication.js configconfig.json serverindex.js storeauth.js middlewareauth.js nuxt.config.js build setup for detailed explanation on how things work checkout nuxt.js docs.,nuxt basic authentication an example project on how to use http authorization in nuxt.js files to look for configauthentication.js configconfig.json serverindex.js storeauth.js middlewareauth.js nuxt.config.js build setup for detailed explanation on how things work checkout nuxt.js docs.,nuxt basic authentication an example project on how to use http authorization in nuxt.js files to look for configauthentication.js configconfig.json serverindex.js storeauth.js middlewareauth.js nuxt.config.js build,basic authentication project on how to use http authorization in nuxtjs files to look for configauthenticationjs configconfigjson
354,354,136643789,https://api.github.com/repos/chrispsn/kcc,a gentle introduction to k is elsewhere,k is elsewhere,but when we say expressions we dont mean programs and this is a very important distinction k programs are read written and evaluated left to right.,∞ plus over infinity aka k crash course genesis k → ø who why wha how exodus get run style → cmt sep tab ids space bad parlance → xyz proj rank numbers vector math → v≠a vv va v x shp type system → num char name date dict tab λ ø∞ mix cast order of eval → rtl 12 no stinking loops → over scan e↣ e↔ e↤ proverbs reading code → how to solve it writing code → three triangles metrics → apples and oranges learning plan → gladly beyond genesis ø computer languages have been around but in the beginning was the word.,∞ plus over infinity aka k crash course genesis k → ø who why wha how exodus get run style → cmt sep tab ids,crash invites → to expert the style →
355,355,137307765,https://api.github.com/repos/macolszewski/django-openinghours,"Allows to define opening hours and to verify if something, for example a store, is currently open.",example a store is currently open ,usage set up a company this app supports multiple companies or your custom model with multiple opening and closing hours.,django opening hours .. image httpstravisci.orgarteriadjangoopeninghours.svgbranchmaster target httpstravisci.orgarteriadjangoopeninghours .. image httpscoveralls.ioreposgithubarteriadjangoopeninghoursbadge.svgbranchmaster target httpscoveralls.iogithubarteriadjangoopeninghoursbranchmaster .. image httpsimg.shields.iopypivdjangoopeninghours.svg target httpspypi.python.orgpypidjangoopeninghours a reusable django app to work with opening hours.,django opening hours .. image httpstravisci.orgarteriadjangoopeninghours.svgbranchmaster target httpstravisci.orgarteriadjangoopeninghours .. image httpscoveralls.ioreposgithubarteriadjangoopeninghoursbadge.svgbranchmaster target httpscoveralls.iogithubarteriadjangoopeninghoursbranchmaster .. image httpsimg.shields.iopypivdjangoopeninghours.svg target httpspypi.python.orgpypidjangoopeninghours a reusable django app to work with,reusable django app to work with opening
356,356,136914496,https://api.github.com/repos/souben/Videos-App," a simple application to search and handle videos from youtube , using Youtube Data API",search and handle videos from youtube using Youtube Data API,your app is ready to be deployed see the section about deployment for more information.,this project was bootstrapped with create react app.,this project was bootstrapped with create react app. available scripts in the project directory you can run runs the app in the development mode. open,react app to react the react
357,357,137498894,https://api.github.com/repos/GitHubNoel/S22.Imap,"A free, easy-to-use and well-documented .NET library component for communicating with IMAP servers",communicating with IMAP servers,heres a simple example that initializes a new instance of the imapclient class and connects to gmails imap server using system using s22.imap namespace test class program static void mainstring args connect on port 993 using ssl.,introduction this repository contains an easytouse and welldocumented .net assembly for communicating with and receiving electronic mail from an internet message access protocol imap server.,introduction this repository contains an easytouse and welldocumented .net assembly for communicating with and receiving electronic mail from an internet message access protocol imap server.,easytouse assembly for communicating with and receiving electronic mail from an internet message access protocol imap
358,358,137284364,https://api.github.com/repos/sudip-mukherjee/sunbird-content-player,Content-Player which is used to play/render the contents in both device and web.,playrender the contents in both device and web ,these will be used to configure the canvas apislug it is string which defines proxy setup to make a api request action how to render in web content player will render inside the web environment with the above configuration .,content player contentplayer which is used to playrender the contents in both device and web.,content player contentplayer which is used to playrender the contents in both device and web. supported content mime types content type mime type ecml applicationvnd.ekstep.ecmlarchive,player which is used to playrender the contents in both device and web supported content
359,359,137136708,https://api.github.com/repos/Daniel-Uzcategui/cordova-plugin-password-dialog,:lock: Cordova plugin for showing password prompt dialogs.,showing password prompt dialogs ,example usage confirm password dialog used to show a dialog that prompts the user to confirm their password.,password dialog for cordova this is a cordova plugin for showing password prompt dialogs.,password dialog for cordova this is a cordova plugin for showing password prompt dialogs. there are currently four dialogs available user name and password enter,cordova plugin for showing password prompt dialogs
360,360,137088220,https://api.github.com/repos/prshomedemo/box-skills-kit-nodejs,Official toolkit library and boilerplate code for developing Box Skills.,developing Box Skills ,what is a box skill how does a box skill work what is this toolkit for where can i learn more installation basic usage 1. reading the webhook payload 2. processing the file using a ml provider 3. write metadata to file optional deal with errors what is a box skill a box skill is a type of application that performs custom processing for files uploaded to box.,box skills kit for node.js this is the official toolkit provided by box for creating custom box skills written in node.js.,box skills kit for node.js this is the official toolkit provided by box for creating custom box skills written in node.js. what is a box,write toolkit to file custom box skills written in nodejs
361,361,137305087,https://api.github.com/repos/spf001/pobox,External buffer processes to protect against mailbox overflow in Erlang,protect against mailbox overflow in Erlang,depending on how you use the api the po box can tell you it received new data so you can then ask for the data or you can tell it to send the data to you directly without notification messages v pid pobox got mail mailbox send it buffer to be more detailed a po box is a state machine with an owner process which it receives messages for and it has 3 states active notify passive the passive state basically does nothing but accumulate messages in the buffer and drop them when necessary.,po box high throughput erlang applications often get bitten by the fact that erlang mailboxes are unbounded and will keep accepting messages until the node runs out of memory.,po box high throughput erlang applications often get bitten by the fact that erlang mailboxes are unbounded and will keep accepting messages until the node,po library to high high throughput
362,362,137025876,https://api.github.com/repos/Navpreet2289/django-audit-tools,Django application that provides a set of tools for auditing requests and models and improve logging,auditing requests and models and improve logging,default auditcustomprovider audittools audittools.audit.middleware.customprovider audittranslateurls translate audit urls default audittranslateurls false .. readthedocs httpdjangoaudittools.readthedocs.org .. ebury httpwww.ebury.com,django audit tools .. image httpstravisci.orgperdydjangoaudittools.svgbranchmaster target httpstravisci.orgperdydjangoaudittools .. image httpscoveralls.ioreposperdydjangoaudittoolsbadge.svgbranchmasterservicegithub target httpscoveralls.iogithubperdydjangoaudittoolsbranchmaster .. image httpsimg.shields.iopypivdjangoaudittools.svg target httpspypi.python.orgpypidjangoaudittools alt latest version .. image httpslandscape.iogithubperdydjangoaudittoolsmasterlandscape.svgstyleflat target httpslandscape.iogithubperdydjangoaudittoolsmaster alt code health version 0.3.0 status development author josé antonio perdiguero lópez warning this package is currently under development use at your own risk.,django audit tools .. image httpstravisci.orgperdydjangoaudittools.svgbranchmaster target httpstravisci.orgperdydjangoaudittools .. image httpscoveralls.ioreposperdydjangoaudittoolsbadge.svgbranchmasterservicegithub target httpscoveralls.iogithubperdydjangoaudittoolsbranchmaster .. image httpsimg.shields.iopypivdjangoaudittools.svg target httpspypi.python.orgpypidjangoaudittools alt latest version .. image httpslandscape.iogithubperdydjangoaudittoolsmasterlandscape.svgstyleflat target,django package to custom requests for auditing requests and models and improve
363,363,137152019,https://api.github.com/repos/jaeho9929/ci_helloworld,A simple example of how to setup a complete CI environment for C and C++,C and C,to support astyle in a simple way we provide a make target that allows the developer to format their source code by simply running .,description this repo provides a simple example for how to setup various ci services as well as integrating analysis tools into these services.,description this repo provides a simple example for how to setup various ci services as well as integrating analysis tools into these services. these tools,simple example for how to setup various ci services
364,364,136945665,https://api.github.com/repos/hidekuro/cloudtrail-to-slack,Lambda function which notify AWS CloudTrail event logs to slack.,slack ,cloudtrail to slack cloudtrail のログストリームを slack に通知する lambda 関数 開発環境 awscli awssamcli docker ローカル環境のセットアップ 環境変数 変数名説明サンプル slack oauth トークン slack チャンネルid or チャンネル名 パッケージングとデプロイ パッケージングしてs3にアップロード ログに表示されるobject keyか 内のs3 urlを確認してlambdaのソースに指定する。 cloudwatch logs ストリーミングフィルタの例 get list describe は無視 下記を検知 セキュリティグループの変更 iamの変更 ゲートウェイ、vpcの変更 cloudtrailのログ停止 コンソールログインの失敗 設定用にスペースを省いたもの 参考リンク aws cloudformation テンプレートを使用して cloudwatch アラームを作成する aws cloudtrail the most important aws cloudtrail security events you should track gorillastack license the mit license,cloudtrail to slack cloudtrail のログストリームを slack に通知する lambda 関数 開発環境 awscli awssamcli docker ローカル環境のセットアップ 環境変数 変数名説明サンプル slack oauth トークン slack チャンネルid or チャンネル名 パッケージングとデプロイ パッケージングしてs3にアップロード ログに表示されるobject keyか 内のs3 urlを確認してlambdaのソースに指定する。 cloudwatch logs ストリーミングフィルタの例 get list describe は無視 下記を検知 セキュリティグループの変更 iamの変更 ゲートウェイ、vpcの変更 cloudtrailのログ停止 コンソールログインの失敗 設定用にスペースを省いたもの 参考リンク aws cloudformation テンプレートを使用して cloudwatch アラームを作成する aws cloudtrail the most important aws cloudtrail security events you should track gorillastack license the mit license,cloudtrail to slack cloudtrail のログストリームを slack に通知する lambda 関数 開発環境 awscli awssamcli docker ローカル環境のセットアップ 環境変数 変数名説明サンプル slack oauth トークン slack チャンネルid or チャンネル名 パッケージングとデプロイ パッケージングしてs3にアップロード,cloudwatch to slack cloudtrail [UNK]
365,365,136643431,https://api.github.com/repos/kelvinadeu/QRLJacking, QRLJacking or Quick Response Code Login Jacking is a simple-but-nasty attack vector affecting all the applications that relays on “Login with QR code” feature as a secure way to login into accounts which aims for hijacking users session by attackers.,hijacking users session by attackers ,qrljacking a new social engineering attack vector find documentation in our wiki.,qrljacking a new social engineering attack vector find documentation in our wiki.,qrljacking a new social engineering attack vector find documentation in our wiki. what is qrljacking qrljacking or quick response code login jacking is a simple,simple social engineering of attack hijacking affecting all applications to login on the “login with qr
366,366,136663230,https://api.github.com/repos/victsant/gatsby-source-google-docs,Gatsby plugin to use Google Docs as a data source,use Google Docs as a data source,usage add the plugin to your configuration in your gatsbynode.js file configure the gatsbysourcegoogledocs and the gatsbytransformerremark plugins add an automatic slug generation modify your oncreatenode function in your gatsbynode.js to generate a slug field node.frontmatter.name contains the title of the google doc create a post template create a srctemplatespost.js file where you will define your post template create a page for each post use the createpages api from gatsby in your gatsbynode.js to create a page for each post.,gatsbysourcegoogledocs is a gatsby plugin to use google docs as a data source.,gatsbysourcegoogledocs is a gatsby plugin to use google docs as a data source. ðÿ”¥ no need for a cms anymore. ðÿ–‹ write your blog posts,gatsby plugin to use google docs as a data source
367,367,136972853,https://api.github.com/repos/IRNAS/tag-connect-otii-stlink,Simple tool to disconnect the programming lines after completion for use with ST-Link broken out fo a discovery board with Otii power analyser and tag connect cable,use with STLink broken out fo a discovery board with Otii power analyser and tag connect cable,circuit board features shield that sits on top of the st nucleo board programming part broken off httpsjeelabs.orgbook1547a 2x connector for tag connect cable one for rj style httpswww.digikey.comproductdetailenmicrochiptechnologytc2030mcpnltc2030mcpnlnd2125388 one for idc style httpswww.digikey.comproductdetailentagconnectllctc2050idctc2050idcnd2605366 5v signal relays on all connections from programmer to tagconnect for example httpssi.farnell.comomrong5v245dcrelaysignaldpdt30vdc2adp9949810stsignal20relay idc connector for otii power analyser status led showing what state this is in idc connector comaptible with stlink v2 operation all signal lines from programmer to the device can be disconnected with the relay 5v supply from otii or nucleo are used for relays user selectable with 2.54mm header and jumper uart txrx can be connected to otii or nucleo user selectable with 2.54mm header and jumper relays are controlled by either otii gpo or nucleo 5v being present user selectable with 2.54mm header and jumper separate gpo channel is used for txrx relay sometimes we want this turned on during testing relays have a bypass option with a solder jumper pcb specifications device dimensions 76x70 mm pcb thickness 1.6mm licensing tag connect otii st link hardware with documentation is licensed under cern ohl v.1.2.,tagconnectotiistlink simple tool to disconnect the programming lines after completion for use with stlink broken out fo a discovery board with otii power analyser and tag connect cable folder structure folder 1schematic includes altium schematic files and pdf schematic folder 2pcb includes altium pcb file pdf pcb print and pdf 3d pcb print folder 3outputfiles includes gerber and nc drill files pdf assembly file and bill of material folder 4doc includes 3d step model of pcb and photos of device folder 5altiumfiles incudes all altium designer files libraries output job project document ... concept od device user can disconnect the programming lines in otii environment with two gpo buttons and choose debug uart lines otii or stm nucleo or both.,tagconnectotiistlink simple tool to disconnect the programming lines after completion for use with stlink broken out fo a discovery board with otii power analyser and,simple tool to disconnect the programming lines after completion
368,368,136655379,https://api.github.com/repos/ssheff/deepstream_360_d_smart_parking_application,Describes the full end to end smart parking application that is available with DeepStream 3.0,end smart parking application that is available with DeepStream 30,introduction the perception capabilities of a deepstream application can now seamlessly be augmented with data analytics capabilities to build complete solutions offering rich data dashboards for actionable insights.,deepstream 3.0 360 degree smart parking application this document describes the full end to end smart parking application that is available with deepstream 3.0. the above architecture provides a reference to build distributed and scalable deepstream applications.,deepstream 3.0 360 degree smart parking application this document describes the full end to end smart parking application that is available with deepstream 3.0. the,30 360 degree smart degree to end smart parking application that is available with deepstream 30
369,369,137328476,https://api.github.com/repos/wxm552/wxm552.github.io,"????Jalpc -- A flexible Jekyll theme, 3 steps to build your website. ",build your website ,personal website 3 steps to setup this theme at your website features index page chart skills categories in blog page pagination page views counter multilingual page web analytics comment share search engines compress css and js files put in a jalpc plug upgrading jalpc ensure theres an upstream remote pull in the latest changes todo donate jalpc wiki ad this is a simple beautiful and swift theme for jekyll.,jalpc.,jalpc. personal website 3 steps to setup this theme at your website features index page chart skills categories in blog page pagination page views counter,jalpc personal website 3 steps to setup this theme at your website
370,370,136719054,https://api.github.com/repos/pyTh0n39/personal-backend,WORK IN PROGRESS: A Flask personal backend alternative for running your own version of https://home.mycroft.ai,running your own version of https homemycroftai,mycroft backend personal mycroft backend alternative to mycroft.home written in flask under construction you can run it but why would you before its finished pull requests welcome mycroft backend api docs can be found here install from source git clone httpsgithub.commycroftaipersonalbackend cd personalbackend pip install .,mycroft backend personal mycroft backend alternative to mycroft.home written in flask under construction you can run it but why would you before its finished pull requests welcome mycroft backend api docs can be found here install from source git clone httpsgithub.commycroftaipersonalbackend cd personalbackend pip install .,mycroft backend personal mycroft backend alternative to mycroft.home written in flask under construction you can run it but why would you before its finished pull,personal mycroft backend to mycrofthome written in flask
371,371,136824505,https://api.github.com/repos/4meta5/yubikey-setup,How to set up your yubikey,set up your yubikey,to check this run the following command in the terminal after inserting your yubikey if you have an existing key you want to import the key must be a rsa 2048 bit key.,yubkey macos setup you bought a yubikey now what the goal is to outline the steps to configure your yubikey in a sane method and to use it to maximize your security.,yubkey macos setup you bought a yubikey now what the goal is to outline the steps to configure your yubikey in a sane method and,guide enables the steps to configure your yubikey in a sane method and to maximize your security
